id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1126295360957421521,"New Unit 301, Toluca 98",431586546,Custer,,District 2,32.82275609249229,-96.82280057330301,Entire home/apt,105,2,8,2024-07-21,2.40,4,360,8,
1126350679400398565,Modern 1bedroom near Downtown Dallas,264123970,Leslie,,District 2,32.81659420835884,-96.82160639412008,Entire home/apt,95,1,13,2024-07-28,3.22,1,344,13,
1126367771508837440,3BED house with a swing and loft 5-min from Dtown,164717464,Monica,,District 2,32.80083,-96.78265,Entire home/apt,263,1,11,2024-08-15,2.80,1,162,11,
1126532283504069258,Heart of Downtown Dallas: Luxury Retreat!,535405425,Jen,,District 2,32.77648097974788,-96.79664858746484,Entire home/apt,85,1,9,2024-07-27,2.48,11,57,9,
1126535692027781982,Heart of Downtown Dallas: Luxury Central!,535405425,Jen,,District 2,32.776259577138056,-96.79434100239162,Entire home/apt,81,1,7,2024-07-06,1.67,11,69,7,
1126556584757858814,Heart of Downtown Dallas: Adventure Hub!,535405425,Jen,,District 2,32.77671,-96.7965,Entire home/apt,81,1,8,2024-07-10,2.11,11,69,8,
1126590113548861894,Heart of Downtown Dallas: Ultimate Urban Retreat!,535405425,Jen,,District 2,32.77845909615763,-96.79589794285936,Entire home/apt,109,1,18,2024-07-30,4.03,11,65,18,
1126667635879195975,Room with bathroom near downtown Dallas4,469311339,Chanh,,District 8,32.71142280437829,-96.68818369674872,Private room,43,1,2,2024-07-27,0.47,15,269,2,
1126780519380387994,Midbury Suite w/bath @ Preston Hollow,105349088,Joy,,District 11,32.90186,-96.78065,Private room,69,1,2,2024-05-23,0.45,3,365,2,
1126792425287031823,"Roof deck, BBQ, Downtown Views!",424466064,Andy,,District 2,32.767484014267716,-96.79042904198094,Entire home/apt,180,1,11,2024-08-12,2.50,1,89,11,
1126854280247099402,Sky Luxury~Downtown~FreeParking~Pool~GYM~K.BED,169096992,Abraham,,District 14,32.78232,-96.79774,Entire home/apt,133,1,38,2024-07-31,8.51,4,256,38,
1126928370136247377,Comfy 1 Bedroom in charming Dallas neighborhood!,40558731,Khalid,,District 2,32.81210845455602,-96.81641196304844,Entire home/apt,131,22,0,,,1,255,0,
1126957347624449871,Cozy Home near Downtown and Lake,358875755,Sarika,,District 2,32.795498678287274,-96.75495208134286,Entire home/apt,,30,0,,,1,14,0,
1127024439502600775,The home away from home TX GEM!,279602152,Etg,,District 7,32.75997,-96.76145,Entire home/apt,189,2,15,2024-07-28,3.38,1,154,15,
1127635377376812304,It’s a vibe,43947463,Chris,,District 14,32.81507177773407,-96.76068766459262,Entire home/apt,212,1,0,,,1,266,0,
1127658355056458343,NO FEES* - Renovated Lux-Mod 1 BR Condo,68299103,E,,District 2,32.80825858090033,-96.77466258651151,Entire home/apt,118,1,17,2024-08-12,4.18,6,160,17,
1127692884141391389,Comfy 1BR with Parking Included,1884853,Big D,,District 14,32.78052,-96.79834,Entire home/apt,121,2,24,2024-07-29,5.54,2,23,24,
1127784740573100742,Social House w/ King bed & 2-car garage parking!,23095720,Gwenivere,,District 1,32.74664,-96.82962,Entire home/apt,363,1,6,2024-06-04,1.37,1,171,6,
1127797033720011493,Industrial loft near Griggs Park,308850424,Libby,,District 14,32.79954172518468,-96.79534137667356,Entire home/apt,300,30,0,,,9,363,0,
1127839987859060280,Room near downtown Dallas5,469311339,Chanh,,District 8,32.70978190142207,-96.68630264273163,Private room,39,1,0,,,15,269,0,
1127984905568730274,Travelers Haven Bish Arts! Dntwn,454503385,Melissa,,District 1,32.7417,-96.85498,Entire home/apt,120,28,1,2024-05-27,0.36,10,196,1,
1128153425277355144,Modern luxury in the Heart of Dallas,71991107,James,,District 2,32.79082,-96.80907,Entire home/apt,,2,3,2024-07-19,0.85,1,0,3,
1128174013105709617,Bright and airy space nestled in Preston Hollow,49463189,Joseph,,District 13,32.86624939431385,-96.79272941325613,Private room,95,1,0,,,1,179,0,
1128243180201319760,4 rooms 2 Full bath Modern Home,570744535,Nick,,District 1,32.73841817099889,-96.86938290180817,Entire home/apt,163,1,7,2024-06-23,2.00,1,364,7,
1128298778413275102,Bonton Bliss,178875854,Diana,,District 7,32.74146762907317,-96.75237265408434,Entire home/apt,112,1,16,2024-07-21,3.61,1,131,16,
1128416234769160331,Munice U Too at Trinity Grove,438890929,Krys Services,,District 6,32.77578,-96.83659,Entire home/apt,165,4,9,2024-08-02,2.52,3,233,9,
1128467058325462591,Victory Park Modern High Rise,463207967,Dewana,,District 2,32.78775230186595,-96.80932331056351,Entire home/apt,164,2,8,2024-07-27,3.69,1,164,8,
1128891263445171495,Luxury Stay in Heart of Dallas!,487557462,Jacob,,District 2,32.81069,-96.78377,Entire home/apt,108,2,32,2024-08-11,7.50,7,213,32,
1128932871589652416,Luxurious & Central Retreat ~ Hot Tub ~ View ~ BBQ,243993091,Noemi,,District 2,32.8061092,-96.78468269999999,Entire home/apt,264,1,28,2024-08-10,6.41,35,161,28,
1128995518026421049,Uptown hide away.,40714358,Jarno,,District 14,32.80675208208313,-96.79983947502906,Entire home/apt,88,7,0,,,1,89,0,
1129160296100406872,Fresh and cozy room,219550433,Veronica,,District 14,32.84616,-96.76593,Entire home/apt,107,1,10,2024-07-27,3.80,1,260,10,
